KP,KI,KD,J_total,J_comfort_raw,J_energy_raw,J_response_raw,J_comfort_norm,J_energy_norm,J_response_norm
1.0,1.0,0.03,6.264245478590141,30733.97194100722,657914.5886227009,4.462669035999246,0.2856305340656267,1.0253337483808547,0.3810759059881153
0.3,1.0,0.03,6.270122951995134,47878.762009534505,661528.2307247838,3.529979041323575,0.4449680760246116,1.0309654660322176,0.3014317105839859
7.0,0.1,0.03,6.284876682447798,64876.50568334331,630160.9303554604,2.679528260440425,0.6029390214259994,0.9820807745837494,0.2288100800734052
1.0,0.8,0.03,6.302676912979098,50203.6386416335,654407.4154656229,3.4545838720130173,0.4665746472591322,1.0198679583504262,0.29499357183330105
7.0,0.1,0.05,6.313208935797405,64835.180413847425,630171.565022703,2.7149367495336714,0.6025549591635891,0.9820973482901473,0.2318336791689312
10.0,0.2,0.2,6.333333554330905,30198.597279522393,641477.073717434,4.602709432117448,0.2806549535979072,0.9997165344395039,0.3930342251901865
3.0,3.0,0.0,6.342625974786355,11263.450747421182,661022.1994696915,5.6083249800884065,0.10467847952041699,1.0301768364250403,0.47890567407592294
10.0,0.03,0.2,6.405537282522298,41671.52794254139,636625.4072810914,4.071790742546959,0.3872802644710395,0.9921554050480998,0.3476980555119
0.5,0.5,0.0,6.40847691125644,115320.83695847215,648165.2627779265,0.046355905303148905,1.0717505798654665,1.010139811378279,0.003958420055082869
0.3,1.5,0.03,6.4338794936675185,56225.874158834384,666360.3034187804,3.2587011538527095,0.5225431485107378,1.0384960593546064,0.2782667691759223
0.3,0.8,0.03,6.497289611984683,58698.72139539917,658268.4694525747,3.2131607065480425,0.5455249055774283,1.0258852575950435,0.27437798265024976
2.0,0.5,0.01,6.6628875936874685,98284.13690832815,641259.8733248105,1.2839874494926766,0.913417587846764,0.9993780362566553,0.10964216181969938
10.0,0.01,0.2,6.67756038669505,43447.266307655635,635964.3779451255,4.294924142137522,0.40378334121497506,0.9911252170897288,0.3667518463530446
7.0,0.05,0.0,6.702780134622381,74347.7092888442,627320.4365004264,2.6587070513218545,0.6909609975401239,0.9776539777593595,0.22703211691624028
7.0,0.05,0.01,6.719206555376952,74351.66204891886,627318.7507300782,2.6777315316846373,0.6909977330773764,0.977651350553245,0.22865665394368248
7.0,0.2,0.2,6.746501392792212,50786.180603907094,635005.8664914884,3.978042422967917,0.47198858373695646,0.9896314150694984,0.3396927059037932
7.0,0.05,0.03,6.75767174422354,74355.5435696574,627317.1385806608,2.7225687143057873,0.6910338065417391,0.9776488380824263,0.23248538734324176
1.0,0.5,0.0,6.771932483764624,121251.2805184304,644523.5271995267,0.15591424220070457,1.1268659995231776,1.0044643111601892,0.01331381749885473
0.1,1.5,0.01,6.777111096681338,78203.58238008467,663928.6349532004,2.469114206705223,0.7267961018492677,1.0347064006576436,0.2108424186777355
7.0,0.05,0.05,6.787553139854378,74339.3978496805,627320.2244904416,2.758434925967023,0.6908837539995969,0.977653647350221,0.23554807225061727
5.0,0.2,0.0,6.831982384860169,79902.23694907903,628366.0185999639,2.5058398979420784,0.7425827893840314,0.9792834759220358,0.21397849620179746
10.0,0.0,0.2,6.835302175099319,44376.88083233021,635625.9127838219,4.429681319463425,0.4124228458539339,0.9905977325825648,0.3782590213247084
5.0,0.2,0.01,6.835723299667732,79916.40300920478,628362.1144765902,2.5094570171446673,0.7427144436761317,0.9792773915008631,0.21428736897862102
5.0,0.2,0.03,6.902751842808542,79764.04525737066,628396.1859848367,2.5961809490139447,0.7412984852666898,0.9793304905928538,0.22169289258822397
7.0,0.1,0.1,6.9211526327038975,64889.1046590283,630152.66199181,3.4239819938597162,0.6030561117962415,0.9820678886674903,0.29238041850551993
7.0,0.03,0.0,6.926308711792796,78727.89193357478,626093.3125792248,2.684355556803399,0.731668847164014,0.9757415538800115,0.22922229220927146
7.0,0.03,0.01,6.944502448939521,78731.69837873019,626091.6573212934,2.7054575963763288,0.7317042229027803,0.9757389742262863,0.23102423601993333
5.0,0.2,0.05,6.9478983352407635,79789.23192594945,628388.5354890613,2.6476940578702814,0.7415325611489515,0.9793185675991309,0.22609169618968744
7.0,0.05,0.1,6.9554230971181354,74385.6405538847,627305.6525827696,2.9525327268211505,0.6913135171400018,0.9776309376110349,0.25212245738070915
3.0,0.5,0.0,6.962044746322374,71544.6283944047,641652.7705435138,3.088703663701146,0.664910167063519,0.9999903509627706,0.2637503560042009
7.0,0.03,0.03,6.984762132517105,78739.12550557216,626089.0484816984,2.7522051353173183,0.7317732479611266,0.9757349084534229,0.23501609842580484
5.0,0.2,0.1,6.990534972599509,79893.48492721395,628356.241179894,2.6920103275189877,0.7425014512255833,0.9792682382012995,0.22987594782702916
1.0,0.5,0.01,6.996633335718259,121006.49780646616,644520.9506383298,0.43238005323132866,1.1245910766175868,1.0044602956919269,0.03692176569383979
