time,Ta_C,Tsp_C,Ti_C,Phea_W,tariff_USD_per_kWh,error_C,integral_term,derivative_term
2026-04-02 02:58:00,20.0,38.0,37.785830601165934,8.195571382690735,0.12,0.21416939883406627,2.660467327952223,-0.014868715405782496
2026-04-02 02:59:00,20.0,38.0,37.78650446435715,8.20557229628166,0.12,0.21349553564284918,2.6640255868796037,-0.04043179147302567
2026-04-02 03:00:00,20.0,39.0,37.78757737980892,9.265120511839442,0.12,1.2124226201910773,2.684232630549455,59.935625072893686
2026-04-02 03:01:00,20.0,39.0,37.83225954354412,9.278825370927041,0.12,1.1677404564558813,2.7036949714903864,-2.6809298241117574
2026-04-02 03:02:00,20.0,39.0,37.876659920483924,9.29059199796304,0.12,1.1233400795160762,2.7224173061489876,-2.6640226163883085
2026-04-02 03:03:00,20.0,39.0,37.92070403506829,9.300512681625259,0.12,1.0792959649317098,2.740405572231183,-2.6426468750619847
2026-04-02 03:04:00,20.0,39.0,37.964322622254095,9.30867796332675,0.12,1.0356773777459054,2.7576668618602813,-2.6171152311482615
2026-04-02 03:05:00,20.0,39.0,38.00745145689869,9.315176555837217,0.12,0.9925485431013072,2.7742093375786365,-2.5877300786758894
2026-04-02 03:06:00,20.0,39.0,38.05003118302346,9.32009527056128,0.12,0.9499688169765435,2.7900421511949123,-2.5547835674858277
2026-04-02 03:07:00,20.0,39.0,38.09200714331584,9.323518953103104,0.12,0.9079928566841602,2.8051753654729814,-2.518557617542996
2026-04-02 03:08:00,20.0,39.0,38.13332920920686,9.325530426751738,0.12,0.8666707907931368,2.8196198786528672,-2.479323953461403
2026-04-02 03:09:00,20.0,39.0,38.17395161183912,9.326210443527522,0.12,0.8260483881608778,2.8333873517888817,-2.4373441579355415
2026-04-02 03:10:00,20.0,39.0,38.21383277421989,9.325637642435762,0.12,0.7861672257801118,2.846490138885217,-2.39286974284596
2026-04-02 03:11:00,20.0,39.0,38.25293514483361,9.323888514580364,0.12,0.7470648551663928,2.858941219804657,-2.346142236823141
2026-04-02 03:12:00,20.0,39.0,38.29122503296867,9.321037374796868,0.12,0.7087749670313315,2.8707541359218456,-2.2973932881036774
2026-04-02 03:13:00,20.0,39.0,38.32867244599435,9.31715633947147,0.12,0.67132755400565,2.8819429284886064,-2.2468447815408865
2026-04-02 03:14:00,20.0,39.0,38.36525092880586,9.31231531021967,0.12,0.6347490711941433,2.8925220796751754,-2.1947089686904064
2026-04-02 03:15:00,20.0,39.0,38.4009374056376,9.306581963106048,0.12,0.5990625943624011,2.902506456247882,-2.141188609904532
2026-04-02 03:16:00,20.0,39.0,38.435712024428,9.300021743094245,0.12,0.5642879755720003,2.9119112558407485,-2.086477127424047
2026-04-02 03:17:00,20.0,39.0,38.46955800390304,9.292697863424054,0.12,0.5304419960969611,2.920751955775698,-2.030758768502352
2026-04-02 03:18:00,20.0,39.0,38.50246148352973,9.28467130962088,0.12,0.4975385164702715,2.9290442643835357,-1.9742087776013761
2026-04-02 03:19:00,20.0,39.0,38.5344113764761,9.276000847850701,0.12,0.4655886235238995,2.936804074775601,-1.9169935767823176
2026-04-02 03:20:00,20.0,39.0,38.56539922569959,9.266743037342229,0.12,0.43460077430040656,2.944047421013941,-1.8592709534095775
2026-04-02 03:21:00,20.0,39.0,38.59541906327215,9.256952246606062,0.12,0.40458093672784656,2.9507904366260718,-1.8011902543535996
2026-04-02 03:22:00,20.0,39.0,38.624467273037034,9.24668067318933,0.12,0.375532726962966,2.957049315408788,-1.7428925858928324
2026-04-02 03:23:00,20.0,39.0,38.652542456679875,9.235978366712494,0.12,0.34745754332012524,2.9628402744641233,-1.684511018570447
2026-04-02 03:24:00,20.0,39.0,38.67964530328448,9.224893254943664,0.12,0.3203546967155191,2.968179519409382,-1.6261707962763694
2026-04-02 03:25:00,20.0,39.0,38.705778462432406,9.21347117267412,0.12,0.2942215375675943,2.9730832117021753,-1.567989548875488
2026-04-02 03:26:00,20.0,39.0,38.730946420894625,9.201755893167169,0.12,0.26905357910537475,2.977567438020598,-1.5100775077331718
2026-04-02 03:27:00,20.0,39.0,38.75515538295321,9.18978916196092,0.12,0.2448446170467875,2.9816481816380445,-1.4525377235152348
